Rank,Name,Classical,Rapid,Blitz
#324,IM Klaudia Kulon,2319,2204,2281
#325,WGM Tatev Abrahamyan,2311,0,2352
#326,Kevin Bordi,2288,0,0
#327,IM Rusudan Goletiani,2278,0,0
#328,GM Nona Gaprindashvili,2270,2199,2105
#329,WGM Dina Belenkaya,2264,2151,2196
#330,WGM Turkan Mamedjarova,2264,2224,2226
#331,FM Jennifer Yu,2257,1898,1936
#332,FM Luis Fernandez Siles,2229,2231,2212
#333,WGM Nemo Qiyu Zhou,2218,0,1925
#334,WFM Julia Alboredo,2216,1890,2041
#335,FM Maria Eizaguerri Floris,2215,1817,2032
#336,WGM Sabina-Francesca Foisor,2208,2322,2243
#337,NM James Canty,2198,0,0
#338,FM Tanitoluwa Adewumi,2190,0,0
#339,WFM Alessia Santeramo,2160,2055,2058
#340,WIM Gabriela Vargas,2152,2075,2071
#341,NM Sam Copeland,2132,0,0
#342,FM Sravan Renjith,2127,1733,1863
#343,Peter Doggers,2116,0,0
#344,NM Sean Senft,2089,0,1881
#345,WFM Jemal Ovezdurdiyeva,2061,1924,1946
#346,WFM Anna Cramling Bellon,2057,1874,1905
#347,WFM Maria Emelianova,2049,2079,2102
#348,WFM Alexandra Botez,2020,0,2059
#349,CM David Zhurbinsky,1996,0,0
#350,WFM Lile Koridze,1977,1961,1978
#351,Antonio Radic,1950,1919,1889
#352,WIM Jesse Nikki February,1872,1839,1824
#353,Bartosz Rudecki,1846,1892,1806
#354,Frank Johnson,1824,0,1868
#355,Andrea Botez,1676,0,1763
#356,WGM Tuduetso Sabure,1663,1831,1873
#357,WCM Phiona Mutesi,1623,0,0
